Role_encoded,count,Role
32,436,Vue.js Developer
31,2384,Test Automation Engineer
29,310,Systems Administrator
28,269,Site Reliability Engineer (SRE)
24,363,React Native Developer
23,1656,React Developer
22,1304,QA Engineer
21,2416,Python Developer
20,220,Project Manager
19,2825,PHP Developer
18,3229,Node.js Developer
16,269,Machine Learning Engineer
15,4050,Java Developer
13,573,Go Developer
12,2045,Frontend Developer
10,236,Embedded Systems Engineer
9,5314,DevOps Engineer
7,232,Data Scientist
6,1087,Data Engineer
5,381,Cloud Engineer
4,421,C++ Developer
3,2514,C# Developer
1,1411,Angular Developer
0,294,Android Developer
